lastfm_url,track,artist,seeds,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,mbid,spotify_id,genre
https://api.spotify.com/v1/tracks/46GBoFCdFZZSjuGaZjZmGv,Saara India,Aastha Gill,['aggressive'],6,4.55,5.273125,5.690625,cab93def-26c5-4fb0-bedd-26ec4c1619e1,4xkOaSrkexMciUUogZKVTS,rap
https://api.spotify.com/v1/tracks/5GoZcfJqSpkNLgKQqbkUxL,Heartless (feat. Aastha Gill),Aastha Gill,['aggressive'],8,3.71,5.833,5.42725,727a2529-7ee8-4860-aef6-7959884895cb,3fOc9x06lKJBhz435mInlH,metal
https://api.spotify.com/v1/tracks/6zNRg7NQqrfcyQmJiaimOV,Khuda Haafiz - Title Track,Vishal Dadlani,['aggressive'],1,3.08,5.87,5.49,,3Y96xd4Ce0J47dcalLrEC8,rap
https://api.spotify.com/v1/tracks/5IUP91X8fKfJnWQgCHT9dN,Dhoom Again,Vishal Dadlani,"['aggressive', 'fun', 'sexy', 'energetic']",13,6.555071429,5.537214286,5.691357143,99dd2c8c-e7c1-413e-8ea4-4497a00ffa18,6tqFC1DIOphJkCwrjVzPmg,hip-hop
https://api.spotify.com/v1/tracks/1yzetU0NF7DWaMIyjkDiJO,Sainika,Vishal Dadlani,['aggressive'],7,3.771176471,5.348235294,5.441764706,b9eb3484-5e0e-4690-ab5a-ca91937032a5,5bU4KX47KqtDKKaLM4QCzh,metal
https://api.spotify.com/v1/tracks/39bx4zZrPxTjw8VNuvjt6X,Criminal,Vishal Dadlani,['aggressive'],9,2.971388889,5.5375,4.726388889,49e7b4d2-3772-4301-ba25-3cc46ceb342e,4Q1w4Ryyi8KNxxaFlOQClK,metal
https://api.spotify.com/v1/tracks/6aWRaCfgZGobOzjtR88uL9,Move,Raftaar,['aggressive'],1,3.08,5.87,5.49,,49fT6owWuknekShh9utsjv,hip-hop
https://api.spotify.com/v1/tracks/59nB7okW0qhj6924cjimOH,Zero Hour Mashup 2015(Remix By Dj Kiran Kamath),Raftaar,"['aggressive', 'angry']",10,3.807121212,5.473939394,4.729090909,1a826083-5585-445f-a708-415dc90aa050,6DoXuH326aAYEN8CnlLmhP,nu metal
https://api.spotify.com/v1/tracks/7n6AQKpZUGiJM2auF3yuDY,All Black,Raftaar,"['aggressive', 'angry', 'bitter']",20,3.737210884,5.610204082,4.626734694,4435982c-b83e-4daa-af2b-9f3430036bb7,104YdibC7VQy78xAVmgRYr,singer-songwriter
https://api.spotify.com/v1/tracks/3eDsxtliwduBeC3UAdOMG5,"Bandook Meri Laila (From ""A Gentleman"") (feat. Raftaar, Sidharth Malhotra)",Raftaar,['aggressive'],4,3.582758621,5.757241379,5.34,fe1cc051-faa7-4953-b331-f6196cd3ddae,5fU6qjmD38P90BMsuqpiuU,metal
https://api.spotify.com/v1/tracks/6sXibluMzgiLgLBvjySOdd,Angaar,Raftaar,['aggressive'],9,3.259444444,5.203055556,4.422777778,585398ed-1275-4579-9451-e8dd7db9d59c,1qxkzHlZBXFv5HfyYqJ8cy,punk
https://api.spotify.com/v1/tracks/2ikI9Y7PCPIavU0TMSpF31,Saza-E-Maut,Raftaar,"['aggressive', 'epic']",4,5.754166667,5.565333333,5.8365,a3c325ce-fac4-42b9-85da-b3c9e0f243af,2ZIJUwprFZrAaZCRKYfAno,industrial
https://api.spotify.com/v1/tracks/7LJKuRS5Cx1umFCLEF4aM1,Gall Goriye,Raftaar,"['aggressive', 'angry', 'driving', 'energetic']",8,3.910740741,4.915555556,4.631851852,3bc2c1a9-43bc-45b2-87fc-4313eb2534fe,6xK3sBdRm99g9T8Ov0gjdF,metal
https://api.spotify.com/v1/tracks/1nyHIaNtThYp6zUQh7aCaJ,Proud,Raftaar,"['aggressive', 'energetic']",3,4.564285714,5.13,4.842857143,f6cc8417-e590-494c-aba9-e3cbc536442d,62wtttQzoIA9HnNmGVd9Yq,hip-hop
https://api.spotify.com/v1/tracks/0obNzgGpOlAtgZfTHdmqoY,Damn,Raftaar,"['aggressive', 'angry']",7,3.20547619,5.026904762,4.584761905,8050e7e7-2c7a-4390-bf77-eaedf293c626,3DaC3oRpGInTU0x8DvdSGp,punk
https://api.spotify.com/v1/tracks/2nk7w7liVyB4vkfjdQxMyH,Mantoiyat,Raftaar,['aggressive'],2,2.97,5.936,5.214,23b46286-3b27-431b-8943-9be9d37836f9,0DxYrFOfiFShTbO2XdFpBX,metalcore
https://api.spotify.com/v1/tracks/4Fvz969Dcpa8Y90tK5BqE5,Drama,Raftaar,"['aggressive', 'angry']",8,3.285,5.297222222,4.716296296,b83fe0b7-d40d-4e77-9b2b-606d36e4a391,7EZlzu01NzbR1jWEIDSk5T,punk
https://api.spotify.com/v1/tracks/4AJUQBF0pIqQvBTGpNd8zZ,Naiyyo,Raftaar,['aggressive'],11,5.680882353,5.751911765,5.930882353,bf2761fe-8b4d-4cc8-bdea-0ccda7c3fed1,1jRzdY7oUBOhrylNtiMtBD,hip-hop
https://api.spotify.com/v1/tracks/47TEc5lfJ078yYwao0tEBO,Monsta Mashup 2016,Raftaar,"['aggressive', 'intense', 'epic', 'uplifting']",7,5.104098361,5.476229508,5.244672131,1b49361a-e594-490c-aa60-dde81b235d24,2tdzFXOsJLLI20QdnSqxr1,alternative metal
https://api.spotify.com/v1/tracks/5zRsI8ViPn2QgA3sIb0cxB,Mirza,Raftaar,"['aggressive', 'confrontational', 'intense', 'epic', 'desperate']",7,3.838627451,4.41872549,4.059803922,9e387cb2-843f-4db0-a0eb-8ba677dfd93d,1Nvy8JAL3DrO0a6xdgJSvv,punk
https://api.spotify.com/v1/tracks/2U4nPeqTMsHJb95stxPkY4,Ki Kariye Nachna Aaonda Nahin,Raftaar,['aggressive'],4,3.796341463,4.475853659,5.564390244,74fa2e8f-01c9-4eb3-8078-402c877b7e3b,3RwomkUaNHS0gFs3QqgudU,classic rock
https://api.spotify.com/v1/tracks/0jyAtcniyyA6SSXW4mRHod,Jean Teri,Raftaar,"['aggressive', 'fierce', 'sexy']",7,5.842,5.979833333,5.920166667,4f7635bb-a53e-4772-8351-82177499cf20,46sqkKk663MiT1u0WHLQKF,electroclash
https://api.spotify.com/v1/tracks/6fPrH7XDUtLRCNleI39bmf,The Pappi,Raftaar,['aggressive'],5,3.5075,4.64875,4.8025,cb6d5d36-33e7-4e7a-b233-fd9f610cafe2,35BOEtOvV1qwzjblSKcPJ1,punk
https://api.spotify.com/v1/tracks/4DDmliouDmaBd60HFDkVWN,Instagram Love,Raftaar,['aggressive'],3,2.96,5.609130435,4.957826087,20408c00-1e6d-4f0b-a907-24a6aae9b33a,6Xpm4ajdj9SkiP08JKg3vK,rock
https://api.spotify.com/v1/tracks/2ORpFTlDaoOLmEPomqrnwu,Mundeya Di Mautt,Raftaar,['aggressive'],5,3.984615385,5.235128205,5.487948718,5a69aa31-a004-4f5a-90c7-7389565431e9,6D69DWilPEsY2TqayoB7x5,punk
https://api.spotify.com/v1/tracks/79MHQXymz8cGX8OOAjXn7J,Baby Marvake Maanegi,Raftaar,"['aggressive', 'soft']",5,4.718333333,4.701666667,4.953333333,88af084e-ac25-40b4-84e3-cd0e488200cc,1V6qst2zfwpooDT1lfvDis,hip-hop
https://api.spotify.com/v1/tracks/75XthnFP7DNG48s4gtNIkS,Dhaakad,Raftaar,['aggressive'],3,5.162857143,4.864571429,5.937428571,43ec7c8e-6b8a-41ec-8348-d141572b8b78,0zc4RPw8fXQSVCM5HQnUGU,rock
https://api.spotify.com/v1/tracks/3TxNvcL2hZrpeYcew3nT8m,Andhadhun Title Track,Raftaar,['aggressive'],6,5.265714286,5.682857143,5.716428571,5512523a-e1eb-4712-bd63-e30495783993,2ZhswJTKMkNNTAjrTmPhOJ,post-hardcore
https://api.spotify.com/v1/tracks/2FlIkQviclfFh6vjklLTFM,Mask On,Raftaar,['aggressive'],9,4.899213483,5.558539326,5.174494382,ccf93ad3-ed73-46c3-9993-91633ee45aa8,,rock
https://api.spotify.com/v1/tracks/2JupucigHN5QBwY0NUno9V,Pagglait,Raftaar,"['aggressive', 'dark']",2,4.08,4.98,5.05,5cb8474a-8603-4ff9-8a3a-77043e74bb1c,,rock
https://api.spotify.com/v1/tracks/0iuPbjWLWt9tS46lyDy69n,Sick,Raftaar,['aggressive'],3,2.2625,4.1125,4.0275,5fd8e6c1-a2af-4599-8854-e170350f5015,2yxAAU2xKo2Z04Se01J4Bq,progressive metal
https://api.spotify.com/v1/tracks/21lyA2vyS98vmmW2NUdd9a,Dhup Chik,Raftaar,['aggressive'],7,3.48440678,4.272033898,5.241694915,19aa367b-bda0-4d04-a66c-78e7216be351,,rock
https://api.spotify.com/v1/tracks/1Si7zrACEMFmJQBpalXSDh,Black Sheep,Raftaar,['aggressive'],5,3.304516129,4.837741935,4.433225806,87081726-7e38-4945-94d3-7ca3ea4b57b2,3DV0DO7GweUc75R38P6mOe,metal
https://api.spotify.com/v1/tracks/5DCTDh8lykifkpycRvCCDF,Sare Karo Dab,Raftaar,"['aggressive', 'powerful']",3,4.83,5.173333333,5.853333333,c28da4af-17c6-4b32-9dcd-d3be5f1006cd,5pzZT3IG4TFxSlmhknYWes,indie rock
https://api.spotify.com/v1/tracks/4DVn4zqAEUd1d526noVo3W,Monsta Mashup 2018,Raftaar,['aggressive'],1,3.08,5.87,5.49,b6b7e79d-a4c9-44ae-b0ee-b1fcc0475833,3GiJq4AQK7324mfIQbpiTf,nu metal
https://api.spotify.com/v1/tracks/5n7P6A365Prut3q8vo5G4m,Dilli Waali Baatcheet,Raftaar,['aggressive'],6,4.158518519,4.597407407,4.78037037,45b6f9cd-3794-468d-b129-66faf0e81b39,7HFCovMwZIinGBpoZyUsKC,rock
https://api.spotify.com/v1/tracks/0hsGnx82KRiuEJeupcHOXL,Popular,Raftaar,['aggressive'],3,4.516571429,4.666571429,5.649428571,a0dd8cf5-f2eb-44c1-91be-5e7ad41e1d16,5DoTRJlzMaGAMHPTDrfvfW,metal
https://api.spotify.com/v1/tracks/2HyMuSCZJIxgnZBkuPT3TA,"High Rated Gabru 52 Non Stop Hits(Remix By Mandy Birgi,Birgi Veerz)",Raftaar,"['aggressive', 'angry', 'cold', 'fun', 'gritty', 'warm', 'flowing', 'smooth', 'exciting', 'soft']",12,4.991538462,4.446923077,5.313846154,00dbbd10-54a6-4ba0-8828-e72c48ebc0c2,5j7eOw6dm05O98hHTb58IY,indie pop
https://api.spotify.com/v1/tracks/6Gefq6dZvAS9qYujW2bH18,Tu Mera Bhai Nahi Hai,Raftaar,"['aggressive', 'hostile', 'intense', 'cathartic', 'fiery', 'raucous']",6,3.356,4.7,4.262,f8826f8e-8684-4df2-8489-128b9bca69f6,7jmIBvIkPcAR6yzbR7YsJH,punk
https://api.spotify.com/v1/tracks/5jkSJSc2oz3B4mm2B5wNsN,Warna Gabbar Aa Jayega,Raftaar,['aggressive'],1,3.08,5.87,5.49,1bc10267-18e2-458a-9f16-bf5bc07392b1,5o9jJ0aRyn7WswL4giBmMB,hip-hop
https://api.spotify.com/v1/tracks/4TkknEEgy9mpbDtSA9ZrKV,"Ae Zindagi Gale Laga Le - Take, 1",Amit Trivedi,"['aggressive', 'volatile', 'relaxed', 'brash', 'wry', 'carefree', 'freewheeling', 'fun', 'warm', 'detached', 'sparkling', 'irreverent', 'summery', 'bright', 'messy', 'sprawling', 'energetic', 'quirky', 'rambunctious', 'calm', 'laid-back', 'cynical']",23,5.533679775,4.276460674,5.643792135,4e48dddb-8dc4-4b49-8bb8-cf57ab32e700,2BdKFeg6MvTXBt51AE0QKc,indie
https://api.spotify.com/v1/tracks/46mXuHxCjDiLoLPsqn24P8,Shaam Shaandaar,Amit Trivedi,"['aggressive', 'intense']",4,5.033333333,6.271666667,5.45,456fda8f-7b57-4018-b768-ec17e6a7e45e,6kapmatG5ez3ceZ3dm3DdZ,post-hardcore
https://api.spotify.com/v1/tracks/59nB7okW0qhj6924cjimOH,Zero Hour Mashup 2015(Remix By Dj Kiran Kamath),Amit Trivedi,"['aggressive', 'angry', 'cold', 'fun', 'gritty', 'warm', 'flowing', 'smooth', 'soft']",13,6.0075,4.64105,5.76905,800f96f7-7fa3-4389-82cf-188d1e1729a4,7dMxExgNTBSHqNV0V4WKQW,indie
